message,label
URGENT! Claim now,0
Meeting at 5 PM,1
"Hello, how are you?",1
Let's catch up tomorrow,1
Congratulations you won,1
Get rich quick,1
"Hey, are you coming?",0
"Hey, are you coming?",0
URGENT! Claim now,0
URGENT! Claim now,0
Congratulations you won,1
Get rich quick,0
Call me when you're free,0
"Hey, are you coming?",1
Win a free iPhone,0
Meeting at 5 PM,0
Double your income,1
Double your income,0
"Hey, are you coming?",0
Limited time offer,0
Limited time offer,0
Lunch at 1?,1
Claim your free prize,0
Limited time offer,1
Congratulations you won,0
Let's catch up tomorrow,1
Project deadline extended,0
Meeting at 5 PM,1
Double your income,0
Double your income,1
Call me when you're free,0
Win a free iPhone,1
Congratulations you won,0
Project deadline extended,0
Win a free iPhone,0
Let's catch up tomorrow,0
Limited time offer,0
Project deadline extended,0
Lunch at 1?,1
Congratulations you won,0
Let's catch up tomorrow,0
Let's catch up tomorrow,0
"Hey, are you coming?",1
Lunch at 1?,1
Project deadline extended,0
"Hey, are you coming?",1
Meeting at 5 PM,0
Limited time offer,1
Lunch at 1?,0
Limited time offer,0
Claim your free prize,1
Get rich quick,0
Double your income,0
Double your income,0
"Hey, are you coming?",1
Call me when you're free,1
Lunch at 1?,1
Meeting at 5 PM,1
Claim your free prize,1
Let's catch up tomorrow,1
Let's catch up tomorrow,1
Get rich quick,1
URGENT! Claim now,1
Double your income,1
Let's catch up tomorrow,0
Get rich quick,1
Congratulations you won,0
Limited time offer,1
Double your income,0
URGENT! Claim now,0
Win a free iPhone,0
Get money fast now,1
Project deadline extended,0
Congratulations you won,0
Get money fast now,1
Let's catch up tomorrow,0
URGENT! Claim now,1
Win a free iPhone,0
Meeting at 5 PM,1
Let's catch up tomorrow,1
Claim your free prize,1
"Hey, are you coming?",0
Lunch at 1?,0
Win a free iPhone,1
Limited time offer,0
Get rich quick,1
Project deadline extended,1
Double your income,0
Congratulations you won,0
Congratulations you won,0
URGENT! Claim now,1
Limited time offer,1
Win a free iPhone,1
Let's catch up tomorrow,1
Congratulations you won,0
Limited time offer,0
"Hey, are you coming?",1
Win a free iPhone,1
Limited time offer,0
Limited time offer,1
Call me when you're free,1
Congratulations you won,1
Meeting at 5 PM,0
"Hey, are you coming?",0
Project deadline extended,0
Project deadline extended,1
Limited time offer,1
Meeting at 5 PM,1
"Hello, how are you?",1
Double your income,1
URGENT! Claim now,1
URGENT! Claim now,1
Call me when you're free,1
Let's catch up tomorrow,1
Win a free iPhone,1
Let's catch up tomorrow,1
Meeting at 5 PM,0
Claim your free prize,0
URGENT! Claim now,1
Limited time offer,1
Claim your free prize,0
Congratulations you won,1
Project deadline extended,1
Limited time offer,1
Get money fast now,0
Limited time offer,1
Meeting at 5 PM,0
Double your income,1
Get rich quick,0
"Hello, how are you?",1
Let's catch up tomorrow,1
Meeting at 5 PM,1
Get rich quick,1
URGENT! Claim now,0
"Hello, how are you?",1
Limited time offer,1
"Hello, how are you?",1
Win a free iPhone,0
Congratulations you won,1
Meeting at 5 PM,1
"Hey, are you coming?",1
Call me when you're free,0
Congratulations you won,1
Call me when you're free,1
Let's catch up tomorrow,1
Get rich quick,1
Congratulations you won,1
Call me when you're free,1
Claim your free prize,1
URGENT! Claim now,0
Lunch at 1?,0
Project deadline extended,1
Project deadline extended,0
"Hey, are you coming?",1
Win a free iPhone,0
Limited time offer,0
Call me when you're free,1
Project deadline extended,0
Project deadline extended,0
Win a free iPhone,1
Claim your free prize,0
Congratulations you won,0
Lunch at 1?,1
Get rich quick,0
Win a free iPhone,0
Meeting at 5 PM,0
URGENT! Claim now,1
Get money fast now,0
"Hey, are you coming?",0
"Hey, are you coming?",0
Project deadline extended,0
"Hello, how are you?",0
Project deadline extended,1
"Hey, are you coming?",0
"Hello, how are you?",1
Win a free iPhone,1
Let's catch up tomorrow,0
Lunch at 1?,1
Congratulations you won,1
Get money fast now,1
Project deadline extended,1
Project deadline extended,1
Limited time offer,0
Double your income,1
Claim your free prize,1
Double your income,0
Get rich quick,0
Claim your free prize,1
Congratulations you won,1
Get rich quick,0
URGENT! Claim now,0
Lunch at 1?,0
Project deadline extended,1
"Hello, how are you?",0
Win a free iPhone,0
Limited time offer,0
Meeting at 5 PM,1
"Hello, how are you?",1
Let's catch up tomorrow,0
Project deadline extended,1
Project deadline extended,0
Call me when you're free,1
Congratulations you won,0
"Hey, are you coming?",1
Call me when you're free,1
"Hey, are you coming?",0
Congratulations you won,0
"Hey, are you coming?",0
Win a free iPhone,1
Call me when you're free,1
Claim your free prize,1
Project deadline extended,0
Claim your free prize,0
Let's catch up tomorrow,1
Limited time offer,0
Congratulations you won,0
"Hello, how are you?",0
Get money fast now,0
Lunch at 1?,1
"Hey, are you coming?",1
URGENT! Claim now,0
Claim your free prize,1
Win a free iPhone,1
"Hey, are you coming?",0
Let's catch up tomorrow,1
Meeting at 5 PM,0
"Hey, are you coming?",1
Win a free iPhone,1
Congratulations you won,0
Claim your free prize,0
Let's catch up tomorrow,1
URGENT! Claim now,1
"Hey, are you coming?",1
Project deadline extended,0
Get rich quick,0
Meeting at 5 PM,1
Get rich quick,0
Congratulations you won,1
Congratulations you won,0
"Hello, how are you?",0
Congratulations you won,0
Get rich quick,0
Limited time offer,1
Call me when you're free,1
Let's catch up tomorrow,1
Meeting at 5 PM,0
URGENT! Claim now,0
"Hello, how are you?",1
Let's catch up tomorrow,0
Get money fast now,1
Double your income,1
Limited time offer,0
Project deadline extended,1
"Hey, are you coming?",0
Let's catch up tomorrow,1
Call me when you're free,1
Congratulations you won,0
Claim your free prize,0
Get money fast now,0
Let's catch up tomorrow,1
"Hello, how are you?",1
Call me when you're free,0
"Hey, are you coming?",1
Get rich quick,1
"Hello, how are you?",0
Meeting at 5 PM,0
Claim your free prize,0
Limited time offer,0
Lunch at 1?,1
Double your income,0
"Hello, how are you?",0
Congratulations you won,1
"Hello, how are you?",1
Lunch at 1?,0
Get money fast now,0
Claim your free prize,0
"Hello, how are you?",0
Call me when you're free,0
"Hello, how are you?",0
Project deadline extended,0
Double your income,1
Get rich quick,1
"Hey, are you coming?",1
Claim your free prize,1
Lunch at 1?,0
Limited time offer,1
Get money fast now,1
"Hey, are you coming?",0
Limited time offer,1
Get money fast now,0
Call me when you're free,1
"Hello, how are you?",0
Get rich quick,1
Win a free iPhone,0
Win a free iPhone,0
Lunch at 1?,0
Lunch at 1?,1
"Hello, how are you?",0
Call me when you're free,1
Project deadline extended,0
"Hey, are you coming?",0
Get money fast now,1
"Hello, how are you?",1
Claim your free prize,0
Congratulations you won,0
"Hello, how are you?",1
Meeting at 5 PM,0
"Hello, how are you?",1
Congratulations you won,0
"Hey, are you coming?",0
Claim your free prize,0
Claim your free prize,1
Claim your free prize,0
Project deadline extended,1
Claim your free prize,1
Win a free iPhone,1
Win a free iPhone,0
Get rich quick,1
Let's catch up tomorrow,0
Lunch at 1?,0
Let's catch up tomorrow,1
"Hello, how are you?",1
URGENT! Claim now,0
Meeting at 5 PM,0
Lunch at 1?,0
Get money fast now,1
Call me when you're free,1
Double your income,0
Win a free iPhone,1
"Hey, are you coming?",1
"Hello, how are you?",0
Win a free iPhone,1
Call me when you're free,0
Meeting at 5 PM,1
Double your income,0
Limited time offer,0
URGENT! Claim now,1
Claim your free prize,0
Get rich quick,1
Lunch at 1?,0
"Hey, are you coming?",1
Double your income,1
Get rich quick,1
Project deadline extended,0
URGENT! Claim now,0
Limited time offer,0
Call me when you're free,1
Congratulations you won,1
Limited time offer,0
"Hello, how are you?",1
Project deadline extended,1
"Hello, how are you?",1
Lunch at 1?,1
Project deadline extended,1
Congratulations you won,0
Win a free iPhone,0
Meeting at 5 PM,1
Limited time offer,1
Win a free iPhone,1
Double your income,1
Congratulations you won,0
Lunch at 1?,1
URGENT! Claim now,0
Claim your free prize,0
Double your income,0
Lunch at 1?,0
Get money fast now,0
Win a free iPhone,1
Double your income,1
Congratulations you won,1
"Hey, are you coming?",1
Double your income,0
Double your income,0
"Hello, how are you?",1
Call me when you're free,0
"Hey, are you coming?",1
Meeting at 5 PM,1
"Hello, how are you?",0
Lunch at 1?,0
Lunch at 1?,1
Lunch at 1?,1
Meeting at 5 PM,0
Win a free iPhone,0
Call me when you're free,0
Call me when you're free,1
Let's catch up tomorrow,1
Congratulations you won,1
Call me when you're free,0
Get rich quick,0
Call me when you're free,0
Get money fast now,0
Congratulations you won,1
Lunch at 1?,1
Congratulations you won,1
Claim your free prize,0
Project deadline extended,1
Limited time offer,0
Lunch at 1?,1
"Hey, are you coming?",0
Meeting at 5 PM,0
Call me when you're free,1
Congratulations you won,1
URGENT! Claim now,0
Get rich quick,1
Meeting at 5 PM,1
Get rich quick,0
URGENT! Claim now,0
Call me when you're free,1
Project deadline extended,0
Claim your free prize,1
Get rich quick,0
Double your income,1
Get money fast now,1
Double your income,1
Double your income,1
URGENT! Claim now,1
Get money fast now,1
Let's catch up tomorrow,1
Get rich quick,1
Congratulations you won,0
Limited time offer,0
Congratulations you won,1
Meeting at 5 PM,0
Congratulations you won,1
Win a free iPhone,1
Claim your free prize,1
URGENT! Claim now,1
"Hello, how are you?",0
Double your income,0
Get money fast now,1
URGENT! Claim now,1
Double your income,0
Get rich quick,1
"Hey, are you coming?",1
Limited time offer,0
Meeting at 5 PM,1
"Hey, are you coming?",0
Call me when you're free,1
Get rich quick,1
Get money fast now,1
Limited time offer,0
"Hey, are you coming?",0
Project deadline extended,0
Meeting at 5 PM,1
Win a free iPhone,0
Lunch at 1?,1
Win a free iPhone,1
Congratulations you won,1
"Hey, are you coming?",1
Double your income,1
"Hey, are you coming?",0
"Hello, how are you?",0
"Hey, are you coming?",1
Congratulations you won,0
Win a free iPhone,0
Limited time offer,0
Lunch at 1?,1
Get money fast now,1
URGENT! Claim now,0
Project deadline extended,0
Get money fast now,1
URGENT! Claim now,0
URGENT! Claim now,1
Claim your free prize,1
Win a free iPhone,0
Project deadline extended,1
Let's catch up tomorrow,1
Project deadline extended,1
Double your income,1
Get money fast now,1
Lunch at 1?,1
Let's catch up tomorrow,0
Lunch at 1?,0
Win a free iPhone,0
Get money fast now,1
Get money fast now,0
Meeting at 5 PM,1
Meeting at 5 PM,0
Lunch at 1?,1
Let's catch up tomorrow,0
Call me when you're free,0
URGENT! Claim now,0
"Hey, are you coming?",0
Meeting at 5 PM,1
Let's catch up tomorrow,0
"Hey, are you coming?",1
Limited time offer,0
Win a free iPhone,0
Project deadline extended,1
"Hey, are you coming?",0
"Hey, are you coming?",0
Double your income,0
Let's catch up tomorrow,0
Get rich quick,1
Meeting at 5 PM,1
Congratulations you won,1
Get money fast now,0
Congratulations you won,0
Project deadline extended,1
Claim your free prize,1
